ID,Title,Category,Version,Type,Difficulty,Level,TAP,HOLD,SLIDE,TOUCH,BREAK,Magnitude
1,君の知らない物語,POPS＆アニメ,GreeN,DX,BASIC,3,53,18,4,6,3,122
2,君の知らない物語,POPS＆アニメ,GreeN,DX,ADVANCED,6,163,18,15,9,4,273
3,君の知らない物語,POPS＆アニメ,GreeN,DX,EXPERT,8,190,31,10,22,5,329
4,君の知らない物語,POPS＆アニメ,GreeN,DX,MASTER,12,233,18,78,29,14,602
5,君の知らない物語,POPS＆アニメ,GreeN,STD,BASIC,2,47,18,2,0,3,104
6,君の知らない物語,POPS＆アニメ,GreeN,STD,ADVANCED,7,151,13,11,0,9,255
7,君の知らない物語,POPS＆アニメ,GreeN,STD,EXPERT,9,197,29,21,0,4,338
8,君の知らない物語,POPS＆アニメ,GreeN,STD,MASTER,11+,187,17,61,0,10,454
9,Our Fighting,ゲーム＆バラエティ,ORANGE PLUS,STD,BASIC,5,176,13,8,0,6,256
10,Our Fighting,ゲーム＆バラエティ,ORANGE PLUS,STD,ADVANCED,7,295,18,12,0,10,417
11,Our Fighting,ゲーム＆バラエティ,ORANGE PLUS,STD,EXPERT,10+,374,31,58,0,9,655
12,Our Fighting,ゲーム＆バラエティ,ORANGE PLUS,STD,MASTER,12,511,31,73,0,24,912
13,1/3の純情な感情,POPS＆アニメ,ORANGE PLUS,STD,BASIC,5,150,3,3,0,4,185
14,1/3の純情な感情,POPS＆アニメ,ORANGE PLUS,STD,ADVANCED,6,208,2,9,0,2,249
15,1/3の純情な感情,POPS＆アニメ,ORANGE PLUS,STD,EXPERT,10,249,46,25,0,23,531
16,1/3の純情な感情,POPS＆アニメ,ORANGE PLUS,STD,MASTER,12,340,65,46,0,16,688
17,毒占欲,niconico＆ボーカロイド,ORANGE,STD,BASIC,3,116,3,4,0,4,154
18,毒占欲,niconico＆ボーカロイド,ORANGE,STD,ADVANCED,7,287,16,9,0,4,366
19,毒占欲,niconico＆ボーカロイド,ORANGE,STD,EXPERT,10+,310,42,27,0,11,530
20,毒占欲,niconico＆ボーカロイド,ORANGE,STD,MASTER,13,502,46,58,0,11,823
21,おじゃま虫,niconico＆ボーカロイド,ORANGE PLUS,STD,BASIC,2,127,2,4,0,3,158
22,おじゃま虫,niconico＆ボーカロイド,ORANGE PLUS,STD,ADVANCED,7,304,24,12,0,12,448
23,おじゃま虫,niconico＆ボーカロイド,ORANGE PLUS,STD,EXPERT,9+,323,32,25,0,9,507
24,おじゃま虫,niconico＆ボーカロイド,ORANGE PLUS,STD,MASTER,12,563,34,77,0,15,937
25,はじめまして地球人さん,niconico＆ボーカロイド,ORANGE PLUS,STD,BASIC,5,127,13,3,0,4,182
26,はじめまして地球人さん,niconico＆ボーカロイド,ORANGE PLUS,STD,ADVANCED,7,201,13,19,0,6,314
27,はじめまして地球人さん,niconico＆ボーカロイド,ORANGE PLUS,STD,EXPERT,10,289,45,20,0,8,479
28,はじめまして地球人さん,niconico＆ボーカロイド,ORANGE PLUS,STD,MASTER,13,461,11,46,0,14,691
29,ヒビカセ,niconico＆ボーカロイド,MiLK PLUS,STD,BASIC,4,189,11,4,0,10,273
30,ヒビカセ,niconico＆ボーカロイド,MiLK PLUS,STD,ADVANCED,7+,386,15,6,0,13,499
31,ヒビカセ,niconico＆ボーカロイド,MiLK PLUS,STD,EXPERT,11,381,43,54,0,12,689
32,ヒビカセ,niconico＆ボーカロイド,MiLK PLUS,STD,MASTER,13,615,67,71,0,14,1032
33,ファッとして桃源郷,POPS＆アニメ,MURASAKi,STD,BASIC,6,169,15,4,0,2,221
34,ファッとして桃源郷,POPS＆アニメ,MURASAKi,STD,ADVANCED,6,251,10,16,0,9,364
35,ファッとして桃源郷,POPS＆アニメ,MURASAKi,STD,EXPERT,10,322,28,39,0,16,575
36,ファッとして桃源郷,POPS＆アニメ,MURASAKi,STD,MASTER,13,452,34,98,0,47,1049
37,Paradisus-Paradoxum,POPS＆アニメ,MURASAKi PLUS,DX,BASIC,4,79,9,4,9,2,128
38,Paradisus-Paradoxum,POPS＆アニメ,MURASAKi PLUS,DX,ADVANCED,7,134,16,5,26,2,217
39,Paradisus-Paradoxum,POPS＆アニメ,MURASAKi PLUS,DX,EXPERT,9+,235,33,33,10,14,480
40,Paradisus-Paradoxum,POPS＆アニメ,MURASAKi PLUS,DX,MASTER,12+,320,20,100,40,20,800
41,Paradisus-Paradoxum,POPS＆アニメ,MURASAKi PLUS,STD,BASIC,5,121,11,4,0,9,200
